Nom,Prénom,Âge,Adresse,Ville,Code postal,Email,Téléphone
Dupont,Jean,34,12 rue des Lilas,Paris,75012,jean.dupont@email.com,06 45 78 12 34
Martin,Claire,29,8 avenue Victor Hugo,Lyon,69006,claire.martin@email.com,07 82 34 56 78
Leroy,Thomas,41,5 rue du Marché,Marseille,13001,thomas.leroy@email.com,06 12 34 56 78
Bernard,Sophie,36,22 boulevard Gambetta,Toulouse,31000,sophie.bernard@email.com,07 98 76 54 32
Moreau,Julien,27,14 rue Lafayette,Nantes,44000,julien.moreau@email.com,06 78 90 12 34
Petit,Laura,33,3 impasse des Érables,Bordeaux,33000,laura.petit@email.com,07 65 43 21 09
Garnier,Hugo,38,17 rue du Canal,Lille,59000,hugo.garnier@email.com,06 23 45 67 89
Rousseau,Emma,45,9 rue des Acacias,Nice,6000,emma.rousseau@email.com,07 12 34 56 78
Fabre,Nicolas,31,11 rue du Soleil,Strasbourg,67000,nicolas.fabre@email.com,06 98 76 54 32
Lambert,Camille,26,6 rue des Peupliers,Rennes,35000,camille.lambert@email.com,07 34 56 78 90
Chevalier,Antoine,39,10 rue des Prés,Grenoble,38000,antoine.chevalier@email.com,06 56 78 90 12
Roy,Manon,30,4 rue du Stade,Dijon,21000,manon.roy@email.com,07 90 12 34 56
Noël,Vincent,50,7 rue des Violettes,Tours,37000,vincent.noel@email.com,06 78 12 34 56
Colin,Chloé,24,15 rue du Parc,Orléans,45000,chloe.colin@email.com,07 56 78 90 12
Perrot,Thomas,35,2 rue des Cerisiers,Metz,57000,thomas.perrot@email.com,06 34 56 78 90
Marchand,Sarah,32,18 rue de la République,Amiens,80000,sarah.marchand@email.com,07 67 89 01 23
Lefèvre,Maxime,28,13 rue du Moulin,Caen,14000,maxime.lefevre@email.com,06 89 01 23 45
Blanchard,Élodie,40,20 rue des Rosiers,Reims,51100,elodie.blanchard@email.com,07 90 12 34 56
Dumas,Nathan,37,16 rue des Sources,Clermont-Ferrand,63000,nathan.dumas@email.com,06 78 90 12 34
Charpentier,Marion,43,1 rue du Panorama,Le Havre,76600,marion.charpentier@email.com,07 12 34 56 78
